English,Bangla
Alaki,আলাকি
The Accused,অভিযুক্ত
That'S Him,এটাই সে
Degree,ডিগ্রী
Fifty,পঞ্চাশ
To Match,মিল করা
The Picture,ছবিটি
Any Other,অন্য কেউ
Of Music,সঙ্গীতের
As Far As,যতদূর সম্ভব
Happily,সুখে
Street,রাস্তা
Cruel,নিষ্ঠুর
International,আন্তর্জাতিক
Drive Away,দূরে ড্রাইভ
Species,প্রজাতি
Simba,সিম্বা
Squeeze,চাপ
Besides,এছাড়া
Be Afraid,ভীত
Application,আবেদন
Of Wood,কাঠের
Repair,মেরামত
Gordon,গর্ডন
Of Hope,আশার
To The Gita,গীতার কাছে
Kidnap,অপহরণ
The Witch,ডাইনী
Everywhere,সর্বত্র
Gusto,চমক
Model,মডেল
Are You Coming,তুমি কি আসছ
On The Forehead,কপালে
Miraculous,অলৌকিক
Cursed,অভিশপ্ত
The Seed,বীজ
To Get Off,বন্ধ পেতে
In Sight,দৃষ্টিতে
Won'T Come,আসবে না
Four O'Clock,চারটা বাজে
Esposito,এস্পোসিটো
The Cave,গুহা
Shape,আকৃতি
Average,গড়
To Rise,ওঠা
Of One,একজনের
The Protector,রক্ষাকারী
In Joy,জয়ে
Of The Situation,অব দ্য সিচুয়েশন
Repetition,পুনরাবৃত্তি
Cleric,ধর্মগুরু
To Survive,বেঁচে থাকার জন্য
The Incident,ঘটনাটি
Make It,বানাও
Can'T Get,পেতে পারেন না
On The Planet,গ্রহে
Created,তৈরি হয়েছে
Of Land,জমি
The Voice,কণ্ঠ
Primary,প্রাথমিক
On The Boat,নৌকায়
Go Ahead,এগিয়ে যান
Reduce,কমিয়ে দিন
Of The Plane,প্লেনের
Nuclear,পারমাণবিক
Daughter,কন্যা
Refuge,আশ্রয়
Assistant,সহকারী
I Mean,আমি বলতে চাইতেছি
Spell Out,বানান করুন
Material,উপাদান
Devotee,ভক্ত
Of Alcohol,অ্যালকোহলের
Hunter,শিকারী
Alternative,বিকল্প
The Atom,পরমাণু
Election,নির্বাচন
Leaked,ফাঁস
Ability,ক্ষমতা
To Laugh,হাসতে
Morning,সকাল
Pegasus,পেগাসাস
To Forget,ভুলতে
Round,গোলাকার
The Book,বইটি
Katniss,ক্যাটনিস
Of Faith,বিশ্বাসের
Ashamed,লজ্জিত
Elevator,লিফট
Burns,পোড়া
In The Ass,গাধা মধ্যে
Unconsciousness,অজ্ঞান
Tribe,উপজাতি
Of The Past,অতীতের
Shadow,ছায়া
A Few Days,কয়েক দিন
Farmer,কৃষক
Of Dinner,ডিনারের
The Ugly,কুৎসিত
Of Fighting,ফাইটিং এর
Cooperation,সহযোগিতা
The Former,সাবেক
The Bone,হাড়
Parking,পার্কিং
The Top,শীর্ষ
The Gang,অপরাধী দল
Hermione,হারমায়োনি
At The Airport,বিমানবন্দরে
Treachery,বিশ্বাসঘাতকতা
The Tiger,বাঘ
Stranger,অপরিচিত
Channel,চ্যানেল
Vincent,ভিনসেন্ট
The Nurse,সেবিকা
Willing,ইচ্ছুক
For The Sake Of,জন্য
Overcome,কাবু
To Mom,মায়ের কাছে
The Question,প্রশ্নটি
Celebration,উদযাপন
Confused,বিভ্রান্ত
Gravity,মহাকর্ষ
English:,ইংরেজি:
Of The Machine,যন্ত্রের
The Bishop,বিশপ
Of Molek,মোলেকের
Cunning,ধূর্ত
Didn'T Say,বলেনি
Of The Soul,আত্মার
I Dropped,আমি বাদ দিলাম
The Dress,পোশাক
In The Bathroom,বাথরুমে
Turner,টার্নার
In The Market,বাজারে
Of The Heart,হৃদয়ের
I Read,আমি পড়ি
Joining,যোগদান
Immortal,অমর
Dayna,দিনা
In The Sea,সমুদ্রের মধ্যে
Will Live,বাস করব
The Beauty,সৌন্দর্য
The Suspect,সন্দেহভাজন
Of The North,উত্তরের
Fugitive,পলাতক
Combined,সম্মিলিত
On The Radio,রেডিওতে
Organism,জীব
On The Mission,মিশনে
The Nightmare,দু: স্বপ্ন
The Fog,ব্যাঙটি
Riding,অশ্বচালনা
Dress,পোষাক
Alfred,আলফ্রেড
Of Fish,মাছের
The Roof,ছাদ
Of Examination,পরীক্ষার
Will Laugh,হাসবে
Percentage,শতাংশ
Is Eating,খাওয়া হয়
Will Raise,তুলবে
Regular,নিয়মিত
Written,লিখিত
Twice,দুবার
In Addition To,এ ছাড়াও
Entered,প্রবেশ করেছে
Washington,ওয়াশিংটন
Of The Hotel,হোটেলের
Of Weapons,অস্ত্রের
To Be Able,সক্ষম হতে
Press,চাপুন
The Prince,রাজকুমার
The Secretary,সম্পাদক
Scientific,বৈজ্ঞানিক
In The Exam,পরীক্ষায়
Stage,মঞ্চ
The Pen,কলমটি
The Goddess,দেবী
Father In Law,শ্বশুর
In Hope,আশায়
The Face,মুখ
The Club,ক্লাব
At Dinner,রাতের খাবার
Brenda,ব্রেন্ডা
At The Bar,বার এ
Burst,বিস্ফোরণ
Observation,পর্যবেক্ষণ
All Night,সারা রাত
Will Return,ফিরে আসবে
Will Send,পাঠাবে
In The West,পশ্চিমে
Of Fingers,আঙ্গুলের
Of Dollars,ডলারের
The Bread,রুটি
Shalara,শালারা
On The Log,লগ অন
Natural,প্রাকৃতিক
Older,বয়স্ক
Sentence,বাক্য
Rooted,শিকড়যুক্ত
Rahul,রাহুল
In Part,আংশিকভাবে
Grand,গ্র্যান্ড
Suspicious,সন্দেহজনক
Will Call,ডাকবে
Presentation,উপস্থাপনা
The Coat,কোট
Good Morning,সুপ্রভাত
Cultivation,চাষ
In York,ইয়র্কে
Of Trial,বিচারের
Of Mistake,অফ মিস্টেক
Glory,গৌরব
The Creator,সৃষ্টিকর্তা
Grandmother,দাদী
Phillies,ফিলিস
On The Wall,দেয়ালে
Island,দ্বীপ
Changed,পরিবর্তিত হয়েছে
Playing,খেলি
Settled,নিষ্পত্তি হয়েছে
That Much,অতটুকু
Barney,বার্নি
On Vacation,ছুটিতে
In Money,টাকায়
The Infinite,অসীম
To Break,ভাঙতে
Study,অধ্যয়ন
Of Victory,বিজয়ের
Sometimes,মাঝে মাঝে
Floor,মেঝে
Construction,নির্মাণ
The Gentleman,ভদ্রলোকটি
Emily,এমিলি
Him Too,তাকেও
In Jiga,জিগায়
Nervous,স্নায়বিক
The Elephant,হাতি
Oxygen,অক্সিজেন
Citizen,নাগরিক
Making,মেকিং
Travel,ভ্রমণ
Walker,ওয়াকার
Translator,অনুবাদক
Of York,ইয়র্কের
The Penny,পেনি
Objection,আপত্তি
Didn'T Go,যাননি
Staying,থাকা
The Cow,গরুটি
Mango,আম
Saved,সংরক্ষিত
Ukong,উকং
Maurice,মরিস
Harmless,ক্ষতিহীন
Depart,প্রস্থান
Century,সেঞ্চুরি
The Ego,অহংকার
In The Church,গির্জাতে
Larry,ল্যারি
The Ark,সিন্দুক
At The Club,ক্লাবে
In The Lap,কোলে
Surrender,আত্মসমর্পণ
Will Lose,হেরে যাবে
Anyway,যাই হোক
Of The Gods,দেবতাদের
Maiden,কুমারী
Consequence,পরিণতি
Dozen,ডজন
Eating,খাওয়া
Of Stone,পাথরের
In America,আমেরিকাতে
The Vice,ভাইস
Would Come,আসবে
Katrina,ক্যাটরিনা
Arranged,সাজানো
Has Gone,গেছে
In The Court,আদালতে
The Shrimp,চিংড়ি
So Far,যতদূর
Singh,সিং
Expenditure,ব্যয়
The Pipe,নল
Style,শৈলী
Interrogation,জিজ্ঞাসাবাদ
Bruno,ব্রুনো
Of The Movie,মুভির
The Beginning,শুরুতে
The Bite,কামড়
Chatter,বকবক
Powerful,ক্ষমতাশালী
Voldemort,ভলডেমর্ট
Craftsman,কারিগর
Kung Fu,কুং ফু
Lesson,পাঠ
In Between,মাঝে
Baymax,বেম্যাক্স
Pocket,পকেট
At The Edge,প্রান্তে
In Position,যথাস্থানে
The Wallet,মানিব্যাগ
The Card,কার্ড
In The Blood,রক্তে
Miller,মিলার
Track,ট্র্যাক
Of The,এর
Seemed,লাগছিল
Billion,বিলিয়ন
The Tail,লেজ
As Many,অনেক হিসাবে
Heavenly,স্বর্গীয়
Dislike,অপছন্দ
In Luck,ভাগ্যে
Of The Nose,নাকের
Of Lineage,বংশের
The Rice,চাল
Laura,লরা
Historical,ঐতিহাসিক
The Genie,জিনি
Is Playing,খেলছে
The Destination,গন্তব্য
Torture,অত্যাচার
Chosen,বেছে নেওয়া হয়েছে
In The Hole,গর্তে
Whoah,ওহ
Definitely,স্পষ্টভাবে
Local,স্থানীয়
Dhaka,ঢাকা
The Stench,দুর্গন্ধ
Unexpected,অপ্রত্যাশিত
The Wild,বন্য
Priya,প্রিয়া
The Crown,মুকুট
Satisfied,সন্তুষ্ট
In These,এগুলোর মধ্যে
Many Times,অনেক বার
Final,ফাইনাল
Bobby,ববি
Took It,এটি নিয়ে নিয়েছে
Petni,পেত্নী
Vomiting,বমি
The Whip,চাবুক
Linguini,লিঙ্গুইনি
I Don'T Get,আমি পাই না
Device,যন্ত্র
Of Gun,বন্দুকের
I Would Come,আমি আসবো
Of Society,সমাজের
Fill Up,পূরণ করা
Of Destruction,ধ্বংসের
Rebellion,বিদ্রোহ
The Nature,প্রকৃতি
Dobby,ডবি
Memory,স্মৃতি
Facebook,ফেসবুক
North,উত্তর
Sewing,সেলাই
By Hand,হাতের দ্বারা
On Time,সময় অনুযায়ী
Chennai,চেন্নাই
The Search,অনুসন্ধান
To The Husband,স্বামীর কাছে
In The Tree,গাছটির মধ্যে
You Killed,তুমি মেরেছিলে
By Hanging,ঝুলন্ত দ্বারা
Propaganda,প্রোপাগান্ডা
Perception,উপলব্ধি
Brick,ইট
Timid,ভীতু
In History,ইতিহাসে
The Year,বছর
Near Too,খুব কাছাকাছি
On Paper,কাগজে
Expectation,প্রত্যাশা
Confidential,গোপনীয়
The Song,গানটি
Dignity,মর্যাদা
Perhaps,সম্ভবত
Christ,খ্রীষ্ট
Of Mankind,মানবজাতির
Neighbor,প্রতিবেশী
Double,ডাবল
Delivery,ডেলিভারি
To Sing,গান করা
Twelve O'Clock,বারোটা বাজে
Of Change,পরিবর্তনের
Confidentiality,গোপনীয়তা
Prophecy,ভাববাণী
The Cloud,মেঘ
A Slave,গোলাম
Coraline,কোরালাইন
Of Mice,ইঁদুরের
Retention,ধরে রাখা
Destiny,নিয়তি
Have Eaten,খাওয়া
Unfortunately,দুর্ভাগ্যবশত
Even Though,যদিও
In The Park,পার্কে
Character,চরিত্র
Seasoned,পাকা
The Artist,শিল্পী
India,ভারত
The Race,জাতি
Martin,মার্টিন
Cut Off,বিছিন্ন করা
Roughly,মোটামুটি
Generation,প্রজন্ম
Hopefully,আশাকরি
On The Neck,অন ​​দ্য নেক
Statue,মূর্তি
In The Company,কোম্পানিতে
Royal,রাজকীয়
Patrick,প্যাট্রিক
The Subtitle,সাবটাইটেল
Colleague,সহকর্মী
Of The Ear,কানের
The Trinity,ট্রিনিটি
Of Freedom,স্বাধীনতার
Proven,প্রমাণিত
Four People,চারজন লোক
Get Wet,ভিজুন
Casey,কেসি
Switch,সুইচ
How Far,কত দূর
The Task,কাজটি
In The House,বাড়িতে
Running Away,দূরে চলমান
Credit,ক্রেডিট
The Ranger,রেঞ্জার
Cousin,চাচাতো ভাই
That Is,এটাই
Rupangel,রূপানগেল
Was Looking For,খুঁজছিলেন
Abbie,অ্যাবি
Passerby,পথিক
The Market,বাজার
Backup,ব্যাকআপ
Gentleman,ভদ্রলোক
Engineer,প্রকৌশলী
In The Camp,শিবিরে
Accident,দুর্ঘটনা
Passenger,যাত্রী
Roman,রোমান
Conscious,সচেতন
The Fork,কাঁটা
Mairala,মাইরালা
In Service,সেবা
The Soap,সাবান
Poisonous,বিষাক্ত
Marine,সামুদ্রিক
Of Men,মানুষের
Cobra,কোবরা
Aslan,আসলান
Lewis,লুইস
Aravind,অরবিন্দ
Avatar,অবতার
Munni,মুন্নি
The Lamp,বাতিটি
Valid,বৈধ
Behind The Scenes,দৃশ্যের অন্তরালে
Launch,শুরু করা
Educated,শিক্ষিত
Extensive,বিস্তৃত
Would,হবে
Of Tomorrow,অফ টুমরো
If You Keep,যদি আপনি রাখেন
Christian,খ্রিস্টান
A Joke,একটি তামাশা
Shameful,লজ্জাজনক
The Cook,রাঁধুনি
Of Them,তাদের মধ্যে
By Raising,উত্থাপন দ্বারা
Indian,ভারতীয়
Speech,বক্তৃতা
Verify,যাচাই করুন
In Another Way,অন্য পথে
The Villain,দুর্জন
Father Too,বাবাও
Suitcase,স্যুটকেস
In Prison,জেলের মধ্যে
In Vain,বৃথা
Photo,ছবি
Of The Club,ক্লাবের
In Possession,দখল
In Thought,চিন্তার মধ্যে
Do You Understand,তুমি কি বুঝতে পেরেছো
Whatever,যাই হোক
Marcellus,মার্সেলাস
Even Once,এমনকি একবার
Mills,মিলস
Play It,এটা খেলা
Catching Up,ধরা
Jordan,জর্ডান
Of Darkness,অন্ধকারের
Department,বিভাগ
Cancer,ক্যান্সার
Of The Line,অফ দ্য লাইন
Smoking,ধূমপান
Jalal,জালাল
Cavalry,অশ্বারোহী
Gratitude,কৃতজ্ঞতা
Schindler,শিন্ডলার
Gotham,গোথাম
Laughing,হাস্যময়
Will Stand,দাঁড়াবে
Equipment,যন্ত্রপাতি
Assistance,সহায়তা
Of The Shop,দোকানের
Fourth,চতুর্থ
I Was Getting,আমি পাচ্ছিলাম
Parish,প্যারিশ
Chaos,বিশৃঙ্খলা
Of College,কলেজের
Don'T Care,ডোন্ট কেয়ার
In Business,ব্যবসা
Dedication,উৎসর্গ
The Hostage,জিম্মি
The Jailer,জেলর
Ahmed,আহমেদ
In The Lab,পরীক্ষাগারে
Recommendation,সুপারিশ
In The South,দক্ষিনে
Friday,শুক্রবার
In Good,গুড ইন
The Pig,শূকর
Brings,নিয়ে আসে
The Garden,বাগান
Symptoms,লক্ষণ
Of Happiness,সুখের
Structure,গঠন
First Time,প্রথমবার
Is Doing,করছে
Sandwich,স্যান্ডউইচ
To Visit,পরিদর্শন করতে
Bad Luck,দুর্ভাগ্য
To Mother,মায়ের কাছে
Of Science,বিজ্ঞানের
Attachment,সংযুক্তি
One Hundred,একশত
Helen,হেলেন
Of Words,শব্দের
By Teaching,শিক্ষা দিয়ে
Will Sit,বসবে
Didn'T Understand,বুঝতে পারিনি
Level,স্তর
Of Creation,সৃষ্টির
Moana,মোয়ানা
Superman,সুপারম্যান
Authority,কর্তৃপক্ষ
Of Writing,লেখার
The Mother,মা
Seersault,সিরাসল্ট
2Checbe8F,2Checbe8F
To Others,অন্যদের
Divya,দিব্যা
Jason,জেসন
Forever,চিরতরে
Kuttan,কুত্তান
Anderson,এন্ডারসন
Got Up,উঠে
Of The Lion,সিংহের
Knock,ঠক্ঠক্
Internet,ইন্টারনেট
The Button,বোতামটি
The Beta,বেটা
Golden,সোনালী
Keep It,এটা রাখ
Mom'S,মায়ের
Ten O'Clock,দশটা বাজে
Opposite,বিপরীত
Metal,ধাতু
The Authority,কর্তৃপক্ষ
Navigation,নেভিগেশন
Helpless,অসহায়
These Are The,এগুলো হল
President'S,রাষ্ট্রপতির এস
Whore,বেশ্যা
The Idea,বুদ্ধিটা
Taylor,টেলর
Quantity,পরিমাণ
Gentlemen,ভদ্রলোক
Family,পরিবার
In The Truck,ট্রাকে
In The Beginning,প্রারম্ভে
Anxious,উদ্বিগ্ন
Stayed,থাকল
Mikey,মাইকি
Owner'S,মালিকের
Earthquake,ভূমিকম্প
Of The Garden,বাগানের
Button,বোতাম
Romantic,রোমান্টিক
Even If,যদিও
Sounds Like,মত শোনাচ্ছে
Not Going,যাচ্ছি না
Wastage,অপচয়
Another'S,অন্যের
Norman,নর্মান
Jamie,জেমি
Hopper,ফড়িং
Landing,অবতরণ
Bilbo,বিলবো
Intense,তীব্র
The Generation,দ্য জেনারেশন
Of Sin,পাপের
Even In,এমনকি
Youth,যৌবন
In The Kitchen,রান্নাঘরে
Cry Out,চিৎকার
The Wood,কাঠ
Jones,জোন্স
Greed,লোভ
The Grass,ঘাস
You Saw,তুমি দেখেছিলে
In Mozambique,মোজাম্বিকে
To The King,রাজার কাছে
Queen,রাণী
Temperature,তাপমাত্রা
In Conclusion,উপসংহারে
Dieter,ডায়েটার
Currently,বর্তমানে
Two Days,দুই দিন
Exhibition,প্রদর্শনী
Apocalypse,এপোক্যালিপস
Disobedience,অবাধ্যতা
Sharp,তীক্ষ্ণ
Dalton,ডাল্টন
De-Su,দে-সু
Brain,মস্তিষ্ক
Apple,আপেল
Snape,স্নেপ
Allen,অ্যালেন
Process,প্রক্রিয়া
Comparison,তুলনা
Coming Soon,শীঘ্রই আসছে
To Love,ভালবাসতে
The Manager,ব্যবস্থাপক
Dismissed,বরখাস্ত
Of The Camera,ক্যামেরার
Mother God,মা ঈশ্বর
Of The Church,চার্চের
Recruitment,নিয়োগ
Of Age,বয়স
I Will Listen,আমি শুনতে হবে
Fever,জ্বর
Had Fallen,পতিত ছিল
The Bathroom,গোসলখানা
Of Convenience,সুবিধার
Of Investigation,তদন্তের
Son In Law,জামাই
To Stand,দাঁড়ানো
The Chair,কেদারা
The Case,মামলা
The Neck,গলা
At Once,একবার
Exploded,বিস্ফোরিত
Unclear,অস্পষ্ট
Competition,প্রতিযোগিতা
Arabic,আরবি
To This,এই
Is Sleeping,ঘুমাচ্ছ
The Field,ক্ষেত্র
Expulsion,তাড়ানো
Qualification,যোগ্যতা
Of Leather,চামড়ার
The Excuse,অজুহাত
Title,শিরোনাম
Gloria,গ্লোরিয়া
The Business,ব্যাবসা
The Women,নারী
Amazing,আশ্চর্যজনক
Of Chicken,মুরগির
Staff,কর্মী
Marcus,মার্কাস
Shalake,শালাকে
Mohammed,মোহাম্মদ
Kilometers,কিলোমিটার
Straightforward,সোজা
The Bastard,জারজ
Jalil,জলিল
Audience,শ্রোতা
The Winter,শীতকাল
The Opposition,প্রতিপক্ষ
The Mechanic,মিস্ত্রী
Named,নামকরণ করা হয়েছে
Joseph,জোসেফ
Return,প্রত্যাবর্তন
Of The Negroes,নিগ্রোদের
Of Bed,বিছানার
Of Washington,ওয়াশিংটনের
Businessman,ব্যবসায়ী
Packet,প্যাকেট
World,বিশ্ব
Burdened,ভারাক্রান্ত
Cuckoo,কোকিল
Steve,স্টিভ
The Restaurant,রেস্টুরেন্ট
The Proposal,প্রস্তাব
Health,স্বাস্থ্য
To The President,রাষ্ট্রপতির কাছে
In The River,নদীতে
In Rome,রোমে
To Draw,আঁকা
Most Of,অধিকাংশ
Team'S,দলের
Telephone,টেলিফোন
Drawn,আঁকা
Transfer,স্থানান্তর
Will Save,সংরক্ষণ করবে
Survive,বেঁচে থাকা
The Fan,পাখা
Everybody,সবাই
Have Bought,কেনা
The Writer,লেখক
Religious,ধর্মীয়
Pronunciation,উচ্চারণ
Transaction,লেনদেন
In The Family,পরিবারে
Pregnant,গর্ভবতী
Name Too,নামও
The Direction,অভিমুখ
In The Corner,কোণে
Of The Tower,টাওয়ারের
In The Police,পুলিশে
Intervention,হস্তক্ষেপ
Gomez,গোমেজ
Soo-Ji,সু-জি
The Flood,বন্যা
Officer'S,অফিসার এস
Even Today,এমনকি আজও
Eugene,ইউজিন
Tinker,টিঙ্কার
Absolute,পরম
In Reality,বাস্তবে
Of Rain,বৃষ্টির
The Juice,জুস
Ineligible,অযোগ্য
To Spend,খরচ করতে
Of Animals,প্রাণীদের
Supply,সরবরাহ
Enthusiasm,উদ্দীপনা
A Group,একটি দল
Mamun,মামুন
Drugs,ওষুধের
In The Picture,ছবিতে
Divine,ঐশ্বরিক
Mischievous,ক্ষতিকর
Editing,সম্পাদনা
Bent Down,নিচু
Morales,মোরালেস
Balance,ভারসাম্য
In The Cave,গুহায়
Of The Department,বিভাগের
The Whale,তিমি
Relatives,আত্মীয়স্বজন
Of The Engine,ইঞ্জিনের
Everyone'S,প্রত্যেকের
Of The Boat,নৌকার
Deeply,গভীরভাবে
To God,আল্লাহর কাছে
Remaining,অবশিষ্ট
Demand,চাহিদা
The Lady,মহিলাটি
Example,উদাহরণ
I Would Take,আমি নিতে হবে
Of India,ভারতের
Pearl,মুক্তা
Of France,ফ্রান্সের
Of Accident,দুর্ঘটনার
To Teach,শিক্ষা দিতে
The Ink,কালি
Moses,মুসা
Go On,যাও
In The Chair,চেয়ারে
At That,সেখানে
The Pistol,পিস্তল
Walla,ওয়াল্লা
The Building,ভবন
Sends,পাঠায়
Of Memory,স্মৃতির
The Accident,দুর্ঘটনাটি
Of Caste,বর্ণের
Hung Up,ঝুলে থাকা
The Base,ভিত্তি
Of Theft,চুরির
Abagnale,আবগনালে
2 O'Clock,২ টা
Institution,প্রতিষ্ঠান
Maria,মারিয়া
The Skull,মাথার খুলি
Marshal,মার্শাল
Orange,কমলা
Cheol,চেওল
The Species,প্রজাতি
The Armor,আর্মার
Of Injury,ইনজুরির
Augustus,অগাস্টাস
Balan,বলন
Malfoy,ম্যালফয়
Selfish,স্বার্থপর
The Pope,ধর্মযাজক
Tamiz,তমিজ
Issued,জারি
The Badge,ব্যাজ
Juice,রস
Approval,অনুমোদন
Awkward,বিশ্রী
Personality,ব্যক্তিত্ব
Of Mutants,মিউট্যান্টদের
Didn'T Give,দেয়নি
Of The Moment,অফ দ্যা মোমেন্ট
The Wheel,চাকাটি
In Seconds,সেকন্ডেই
Uncivilized,অসভ্য
Matrix,ম্যাট্রিক্স
Organization,সংগঠন
Women'S,মহিলাদের
Chuck,চক
The Weather,আবহাওয়া
Good Evening,শুভ সন্ধ্যা
More Than,অধিক
From There,সেখান থেকে
The Reason,কারন
Magic,জাদু
By Stopping,বন্ধ করে
Tradition,ঐতিহ্য
The Flag,পতাকাটি
Arjuna,অর্জুন
Magazine,ম্যাগাজিন
Twelve,বারো
Monday,সোমবার
Will Run,চলবে
Affected,আক্রান্ত
Celine,সেলিন
Begum,বেগম
Quality,গুণমান
The Deer,হরিণ
Checkbe8F,Checkbe8F
Of Hunting,শিকারের
Edmond,এডমন্ড
Of Women,মহিলাদের
Mysterious,রহস্যময়
Kamrul,কামরুল
Rotate,আবর্তিত
The Cabin,কেবিন
On Target,লক্ষ্যে
Approach,এপ্রোচ
Of Flowers,ফুলের
In Childhood,শৈশবে
In Death,মৃত্যুতে
The Gods,আল্লাহ
Moving,চলন্ত
Olivia,অলিভিয়া
Hints,ইঙ্গিত
Tight,টাইট
Gordo,গোর্ডো
Will Come Down,উইল কাম ডাউন
Senator,সিনেটর
Coincidence,কাকতালীয়
Kubra'S,কুবরার এস
At Speed,গতিতে
One Of The,অন্যতম
Short,সংক্ষিপ্ত
Uniform,ইউনিফর্ম
In The Fight,সংগ্রামে
The Center,কেন্দ্র
Of The Captain,ক্যাপ্টেনের
Lying,মিথ্যা কথা
Dolores,ডলোরেস
Yong-Go,ইয়ং-গো
Guardian,অভিভাবক
Dinosaurs,ডাইনোসর
Will Win,জিতবে
Of Cow,গরুর
Position,অবস্থান
Prince,রাজপুত্র
Section,অধ্যায়
In An Accident,একটি দুর্ঘটনায়
The Dwarf,বামন
Alert,সতর্কতা
The Point,বিন্দু
December,ডিসেম্বর
Princess,রাজকুমারী
All Ready,সব প্রস্তুত
If You Show,আপনি যদি দেখান
Rejection,প্রত্যাখ্যান
Joker'S,জোকারস
Of Entry,এন্ট্রির
Future,ভবিষ্যৎ
Activities,কার্যক্রম
Ismail,ইসমাইল
Useless,অকেজো
Persia,পারস্য
Substance,পদার্থ
The Drone,ড্রোন
Here Too,এখানেও
The Crew,ক্রু
Flame,শিখা
To Get Out,বের হতে
Second Time,দ্বিতীয় সময়
Of Health,স্বাস্থ্যের
Will Love,ভালোবাসবে
The Pill,পিল
The Piece,টুকরা
The Boy'S,ছেলোগুলো
Tonight,আজ রাতে
In Bengal,বাংলায়
On The Nile,নীল নদের উপর
Introduction,ভূমিকা
Popular,জনপ্রিয়
The Final,চূড়ান্ত
Fried,ভাজা
Prescribed,নির্ধারিত
Flash,ফ্ল্যাশ
The Greatest,সর্বশ্রেষ্ঠ
Kitty,কিটি
To Another,অন্যের প্রতি
Of Truth,সত্যের
Doesn'T Stay,থাকে না
Was Giving,দিচ্ছিল
Of Disease,রোগের
Groom,বর
Height,উচ্চতা
The Noise,শব্দটি
Of Laughter,হাসির
Of The Monster,দৈত্যের
Screen,পর্দা
In The Newspaper,সংবাদপত্রের মধ্যে
In The Book,বইতে
Gordy,গোর্ডি
So Many,অনেক
Patch,প্যাচ
Consciousness,চেতনা
Maula,মওলা
Us Too,আমাদেরও
Than That,সেটার চাইতে
Changes,পরিবর্তন
By Sitting,বসা দ্বারা
Of Solution,সমাধানের
South,দক্ষিণ
Correctly,সঠিকভাবে
Ongoing,চলমান
Explosive,বিস্ফোরক
Believer,বিশ্বাসী
Are You Doing,তুমি করছ
Project,প্রকল্প
The Bean,শিম
Shopping,কেনাকাটা
Capital,মূলধন
Supplies,সরবরাহ
Lannister,ল্যানিস্টার
Northap,নর্থাপ
Young Woman,তরুণী
Divorce,ডিভোর্স
Translator:,অনুবাদক:
Lucius,লুসিয়াস
Resort,রিসোর্ট
Warning,সতর্কতা
Of Shame,লজ্জার
Recipe,রেসিপি
The Wave,তরঙ্গ
Of Relationship,সম্পর্কের
Silent,নীরব
Devastated,বিধ্বস্ত
Rotten,পচা
In Something,কিছুতে
Stick,লাঠি
Of The Storm,অফ দ্য স্টর্ম
Taught,শেখানো
The Heir,উত্তরাধিকারী
Sharing,শেয়ারিং
Martyr,শহীদ
Useful,দরকারী
Consent,সম্মতি
You Get,তুমি পাও
Childhood,শৈশব
Jules,জুলস
On Stage,মঞ্চে
The Star,তারা
Didn'T Happen,ঘটেনি
Catherine,ক্যাথরিন
Someone'S,কারোর
Traffic,ট্রাফিক
Managed By,দ্বারা পরিচালিত
Extravagance,বাড়াবাড়ি
On The Shoulder,অন ​​দ্য শোল্ডার
Bhanu,ভানু
Someone Else,অন্য কেউ
Give Me,আমাকে দাও
Fierce,উগ্র
Ronnie,রনি
Speedy,দ্রুত
Touching,স্পর্শকাতর
Of Travel,ভ্রমণের
In The Net,নেটে
Ambrose,অ্যামব্রোস
Sunny,সানি
Investment,বিনিয়োগ
Patsy,প্যাটসি
To Death,মরতে
Zafar,জাফর
Helmet,হেলমেট
Threatening,হুমকি দিচ্ছে
The Airport,বিমানবন্দর
Of The Army,সেনাবাহিনীর
The Cage,খাঁচা
Footage,ফুটেজ
Powder,পাউডার
The Throne,সিংহাসন
On The Spot,হাতেনাতে
To The Power,ক্ষমতার কাছে
Of The Hospital,হাসপাতালের
The Mayor,নগরপিতা
In The Afternoon,বিকালে
To The Criminal,অপরাধীর কাছে
On The Edge,প্রান্তে
Green,সবুজ
Route,রুট
Of Africa,আফ্রিকার
2Cha2Ebca,2Cha2Ebca
Warrant,সমন
Of The Moon,চাঁদের
Artificial,কৃত্রিম
Straw,খড়
Fairy Tale,রূপকথা
Sleeps,ঘুমায়
Expand,বিস্তৃত করা
Shaan,শান
Pressure,চাপ
Mourning,শোক
Employee,কর্মচারী
Secondly,দ্বিতীয়ত
Space,স্থান
Daniel,ড্যানিয়েল
Duane,ডুয়ান
The Factory,কারখানাটি
Officers,অফিসাররা
Enter,প্রবেশ করুন
Six O'Clock,ছয়টা বাজে
In The Heart,হৃদয়ে
Of Explosion,বিস্ফোরণের
In What,কিসের মধ্যে
The Governor,রাজ্যপাল
Morbi,মরবি
Of Mossyur,মসিউরের
Abuse,গালাগালি
Taurus,বৃষ
Sarfaraz,সরফরাজ
Castle,দুর্গ
The Rock,পাথর
United States,যুক্তরাষ্ট্র
Of The Thief,চোরের
Will Buy,কিনব
Cotton,তুলা
Finished,সমাপ্ত
The Kitchen,রান্নাঘর
Baggins,ব্যাগিন্স
Greedy,লোভী
Just Once,শুধু একবার
Of The Temple,মন্দিরের
Kolosky,কোলোস্কি
Balthazar,বলথাজার
Afternoon,বিকেল
